year,week,gross,top_release,releases,long_weekend,dates,start_date
1992,42,69014039,Under Siege,23,false,Oct 16-22,1992-10-16
1992,43,64671404,Under Siege,23,false,Oct 23-29,1992-10-23
1992,44,43750843,Under Siege,19,false,Oct 30-Nov 5,1992-10-30
1992,45,63322394,Passenger 57,22,false,Nov 6-12,1992-11-06
1992,46,83208929,Bram Stoker's Dracula,24,false,Nov 13-19,1992-11-13
1992,47,126963094,Home Alone 2: Lost in New York,22,false,Nov 20-26,1992-11-20
1992,48,124302113,Home Alone 2: Lost in New York,19,false,Nov 27-Dec 3,1992-11-27
1992,49,76576699,Home Alone 2: Lost in New York,18,false,Dec 4-10,1992-12-04
1992,50,82917946,A Few Good Men,20,false,Dec 11-17,1992-12-11
1992,51,110495239,A Few Good Men,18,false,Dec 18-24,1992-12-18
1992,52,183603217,Aladdin,22,false,Dec 25-31,1992-12-25
1993,1,104886500,Aladdin,20,false,Jan 1-7,1993-01-01
1993,2,78995731,A Few Good Men,23,false,Jan 8-14,1993-01-08
1993,3,97233042,Aladdin,26,false,Jan 15-21,1993-01-15
1993,4,83521647,Aladdin,26,false,Jan 22-28,1993-01-22
1993,5,62785205,Aladdin,25,false,Jan 29-Feb 4,1993-01-29
1993,6,85807587,Loaded Weapon 1,27,false,Feb 5-11,1993-02-05
1993,7,97905544,Groundhog Day,27,false,Feb 12-18,1993-02-12
1993,8,77838747,Groundhog Day,26,false,Feb 19-25,1993-02-19
1993,9,77852817,Falling Down,27,false,Feb 26-Mar 4,1993-02-26
1993,10,69963748,Falling Down,26,false,Mar 5-11,1993-03-05
1993,11,69561640,Fire in the Sky,26,false,Mar 12-18,1993-03-12
1993,12,72624561,Teenage Mutant Ninja Turtles III,22,false,Mar 19-25,1993-03-19
1993,13,60122131,Teenage Mutant Ninja Turtles III,25,false,Mar 26-Apr 1,1993-03-26
1993,14,73804394,Cop & ½,24,false,Apr 2-8,1993-04-02
1993,15,82087821,Indecent Proposal,22,false,Apr 9-15,1993-04-09
1993,16,63011126,Indecent Proposal,24,false,Apr 16-22,1993-04-16
1993,17,82247115,Like Water for Chocolate,25,false,Apr 23-29,1993-04-23
1993,18,58816988,Indecent Proposal,26,false,Apr 30-May 6,1993-04-30
1993,19,55862713,Dragon: The Bruce Lee Story,25,false,May 7-13,1993-05-07
1993,20,57383224,Dave,22,false,May 14-20,1993-05-14
1993,21,75542340,Sliver,22,false,May 21-27,1993-05-21
1993,22,117756407,Cliffhanger,21,false,May 28-Jun 3,1993-05-28
1993,23,82484268,Cliffhanger,23,false,Jun 4-10,1993-06-04
1993,24,135733636,Jurassic Park,21,false,Jun 11-17,1993-06-11
1993,25,132039248,Jurassic Park,18,false,Jun 18-24,1993-06-18
1993,26,142649921,Jurassic Park,20,false,Jun 25-Jul 1,1993-06-25
1993,27,181632163,The Firm,19,false,Jul 2-8,1993-07-02
1993,28,160377210,The Firm,19,false,Jul 9-15,1993-07-09
1993,29,151454460,The Firm,21,false,Jul 16-22,1993-07-16
1993,30,137109760,In the Line of Fire,20,false,Jul 23-29,1993-07-23
1993,31,140296961,Rising Sun,22,false,Jul 30-Aug 5,1993-07-30
1993,32,139982169,The Fugitive,24,false,Aug 6-12,1993-08-06
1993,33,123768838,The Fugitive,24,false,Aug 13-19,1993-08-13
1993,34,97470770,The Fugitive,24,false,Aug 20-26,1993-08-20
1993,35,88444090,The Fugitive,28,false,Aug 27-Sep 2,1993-08-27
1993,36,81870763,The Fugitive,26,false,Sep 3-9,1993-09-03
1993,37,64758551,The Fugitive,26,false,Sep 10-16,1993-09-10
1993,38,60622752,Striking Distance,25,false,Sep 17-23,1993-09-17
1993,39,75918311,The Good Son,26,false,Sep 24-30,1993-09-24
1993,40,90268721,Malice,27,false,Oct 1-7,1993-10-01
1993,41,89139023,Demolition Man,23,false,Oct 8-14,1993-10-08
1993,42,81124635,Demolition Man,25,false,Oct 15-21,1993-10-15
1993,43,79161267,Demolition Man,23,false,Oct 22-28,1993-10-22
1993,44,56176365,The Nightmare Before Christmas,21,false,Oct 29-Nov 4,1993-10-29
1993,45,73459889,The Nightmare Before Christmas,22,false,Nov 5-11,1993-11-05
1993,46,76954379,The Three Musketeers,25,false,Nov 12-18,1993-11-12
1993,47,102811639,Addams Family Values,31,false,Nov 19-25,1993-11-19
1993,48,100650603,Mrs. Doubtfire,24,false,Nov 26-Dec 2,1993-11-26
1993,49,64854786,Mrs. Doubtfire,21,false,Dec 3-9,1993-12-03
1993,50,73035757,Wayne's World 2,25,false,Dec 10-16,1993-12-10
1993,51,93553263,The Pelican Brief,24,false,Dec 17-23,1993-12-17
1993,52,139831239,Mrs. Doubtfire,23,false,Dec 24-30,1993-12-24
1993,53,113301121,Mrs. Doubtfire,24,false,"Dec 31-Jan 6, 1994",1993-12-31
1994,1,99789193,Mrs. Doubtfire,26,false,Jan 7-13,1994-01-07
1994,2,100138222,Philadelphia,28,false,Jan 14-20,1994-01-14
1994,3,85606982,Philadelphia,29,false,Jan 21-27,1994-01-21
1994,4,80993888,Mrs. Doubtfire,26,false,Jan 28-Feb 3,1994-01-28
1994,5,86645853,Ace Ventura: Pet Detective,29,false,Feb 4-10,1994-02-04
1994,6,89935289,Ace Ventura: Pet Detective,29,false,Feb 11-17,1994-02-11
1994,7,100545484,On Deadly Ground,24,false,Feb 18-24,1994-02-18
1994,8,69934987,On Deadly Ground,22,false,Feb 25-Mar 3,1994-02-25
1994,9,67000589,Ace Ventura: Pet Detective,23,false,Mar 4-10,1994-03-04
1994,10,77786048,Guarding Tess,28,false,Mar 11-17,1994-03-11
1994,11,79692390,Naked Gun 33 1/3: The Final Insult,34,false,Mar 18-24,1994-03-18
1994,12,69780120,Naked Gun 33 1/3: The Final Insult,28,false,Mar 25-31,1994-03-25
1994,13,89313819,D2: The Mighty Ducks,28,false,Apr 1-7,1994-04-01
1994,14,69222693,D2: The Mighty Ducks,23,false,Apr 8-14,1994-04-08
1994,15,60787883,Four Weddings and a Funeral,29,false,Apr 15-21,1994-04-15
1994,16,59260867,Four Weddings and a Funeral,28,false,Apr 22-28,1994-04-22
1994,17,53514726,Four Weddings and a Funeral,26,false,Apr 29-May 5,1994-04-29
1994,18,46551697,Four Weddings and a Funeral,28,false,May 6-12,1994-05-06
1994,19,67006558,When a Man Loves a Woman,27,false,May 13-19,1994-05-13
1994,20,82745177,Maverick,27,false,May 20-26,1994-05-20
1994,21,121261116,The Flintstones,20,false,May 27-Jun 2,1994-05-27
1994,22,90980345,The Flintstones,22,false,Jun 3-9,1994-06-03
1994,23,100163144,Speed,22,false,Jun 10-16,1994-06-10
1994,24,116524898,Wolf,19,false,Jun 17-23,1994-06-17
1994,25,147908772,The Lion King,16,false,Jun 24-30,1994-06-24
1994,26,165232024,The Lion King,22,false,Jul 1-7,1994-07-01
1994,27,153335328,Forrest Gump,18,false,Jul 8-14,1994-07-08
1994,28,156227495,True Lies,18,false,Jul 15-21,1994-07-15
1994,29,166901974,Forrest Gump,18,false,Jul 22-28,1994-07-22
1994,30,167510423,The Mask,19,false,Jul 29-Aug 4,1994-07-29
1994,31,164956659,Clear and Present Danger,19,false,Aug 5-11,1994-08-05
1994,32,127424171,Clear and Present Danger,15,false,Aug 12-18,1994-08-12
1994,33,114786319,Forrest Gump,18,false,Aug 19-25,1994-08-19
1994,34,98214712,Natural Born Killers,22,false,Aug 26-Sep 1,1994-08-26
1994,35,94755502,Forrest Gump,22,false,Sep 2-8,1994-09-02
1994,36,72376166,Forrest Gump,25,false,Sep 9-15,1994-09-09
1994,37,63280860,Timecop,24,false,Sep 16-22,1994-09-16
1994,38,68906232,Timecop,27,false,Sep 23-29,1994-09-23
1994,39,68230648,The River Wild,27,false,Sep 30-Oct 6,1994-09-30
1994,40,76667230,The Specialist,19,false,Oct 7-13,1994-10-07
1994,41,85808726,Pulp Fiction,24,false,Oct 14-20,1994-10-14
1994,42,65777835,Pulp Fiction,22,false,Oct 21-27,1994-10-21
1994,43,77062044,Stargate,25,false,Oct 28-Nov 3,1994-10-28
1994,44,74583103,Stargate,24,false,Nov 4-10,1994-11-04
1994,45,109172661,Interview with the Vampire: The Vampire Chronicles,21,false,Nov 11-17,1994-11-11
1994,46,157535899,Star Trek: Generations,27,false,Nov 18-24,1994-11-18
1994,47,113422141,The Santa Clause,20,false,Nov 25-Dec 1,1994-11-25
1994,48,64852851,The Santa Clause,18,false,Dec 2-8,1994-12-02
1994,49,58398769,Disclosure,16,false,Dec 9-15,1994-12-09
1994,50,99147521,Dumb and Dumber,24,false,Dec 16-22,1994-12-16
1994,51,154850467,Dumb and Dumber,29,false,Dec 23-29,1994-12-23
1994,52,132059588,Dumb and Dumber,28,false,"Dec 30-Jan 5, 1995",1994-12-30
1995,1,88511260,Dumb and Dumber,27,false,Jan 6-12,1995-01-06
1995,2,127033512,Higher Learning,26,false,Jan 13-19,1995-01-13
1995,3,78241231,Legends of the Fall,22,false,Jan 20-26,1995-01-20
1995,4,66766548,Legends of the Fall,23,false,Jan 27-Feb 2,1995-01-27
1995,5,74347181,Legends of the Fall,28,false,Feb 3-9,1995-02-03
1995,6,73938830,The Quick and the Dead,26,false,Feb 10-16,1995-02-10
1995,7,87234290,The Brady Bunch Movie,25,false,Feb 17-23,1995-02-17
1995,8,64434263,The Brady Bunch Movie,22,false,Feb 24-Mar 2,1995-02-24
1995,9,74449150,Dumb and Dumber,22,false,Mar 3-9,1995-03-03
1995,10,63228117,Outbreak,24,false,Mar 10-16,1995-03-10
1995,11,73089838,Outbreak,27,false,Mar 17-23,1995-03-17
1995,12,74684192,Outbreak,27,false,Mar 24-30,1995-03-24
1995,13,64388062,Tommy Boy,22,false,Mar 31-Apr 6,1995-03-31
1995,14,85239520,Bad Boys,23,false,Apr 7-13,1995-04-07
1995,15,80319348,Bad Boys,19,false,Apr 14-20,1995-04-14
1995,16,78779169,While You Were Sleeping,27,false,Apr 21-27,1995-04-21
1995,17,78438303,While You Were Sleeping,28,false,Apr 28-May 4,1995-04-28
1995,18,65809624,French Kiss,21,false,May 5-11,1995-05-05
1995,19,70407980,Crimson Tide,19,false,May 12-18,1995-05-12
1995,20,88651741,Die Hard with a Vengeance,18,false,May 19-25,1995-05-19
1995,21,133617798,Casper,19,false,May 26-Jun 1,1995-05-26
1995,22,107239615,Casper,22,false,Jun 2-8,1995-06-02
1995,23,105608481,Congo,20,false,Jun 9-15,1995-06-09
1995,24,152081880,Batman Forever,19,false,Jun 16-22,1995-06-16
1995,25,144984086,Pocahontas,22,false,Jun 23-29,1995-06-23
1995,26,181855617,Apollo 13,23,false,Jun 30-Jul 6,1995-06-30
1995,27,138208332,Apollo 13,20,false,Jul 7-13,1995-07-07
1995,28,149905412,Apollo 13,25,false,Jul 14-20,1995-07-14
1995,29,146532761,Clueless,26,false,Jul 21-27,1995-07-21
1995,30,145547029,Waterworld,23,false,Jul 28-Aug 3,1995-07-28
1995,31,134247117,Waterworld,25,false,Aug 4-10,1995-08-04
1995,32,129354468,Dangerous Minds,24,false,Aug 11-17,1995-08-11
1995,33,134339141,Mortal Kombat,30,false,Aug 18-24,1995-08-18
1995,34,110071450,Mortal Kombat,32,false,Aug 25-31,1995-08-25
1995,35,89972569,Mortal Kombat,27,false,Sep 1-7,1995-09-01
1995,36,71264878,"To Wong Foo Thanks for Everything, Julie Newmar",29,false,Sep 8-14,1995-09-08
1995,37,65346698,"To Wong Foo Thanks for Everything, Julie Newmar",28,false,Sep 15-21,1995-09-15
1995,38,69386260,Se7en,30,false,Sep 22-28,1995-09-22
1995,39,75353606,Se7en,29,false,Sep 29-Oct 5,1995-09-29
1995,40,86442204,Se7en,26,false,Oct 6-12,1995-10-06
1995,41,67301049,Se7en,24,false,Oct 13-19,1995-10-13
1995,42,81990240,Get Shorty,27,false,Oct 20-26,1995-10-20
1995,43,70707425,Get Shorty,27,false,Oct 27-Nov 2,1995-10-27
1995,44,73935178,Get Shorty,29,false,Nov 3-9,1995-11-03
