year,week,gross,top_release,releases,long_weekend
1984,35,58862605,Tightrope,16,false
1984,36,36399931,Tightrope,16,false
1984,37,37392890,Ghostbusters,19,false
1984,38,39773502,All of Me,20,false
1984,39,46337997,All of Me,24,false
1984,40,45507319,Teachers,21,false
1984,41,38122109,Indiana Jones and the Temple of Doom,17,false
1984,42,40369589,Teachers,20,false
1984,43,49486416,The Terminator,20,false
1984,44,33796214,The Terminator,16,false
1984,45,39044691,"Oh, God! You Devil",19,false
1984,46,52601787,Missing in Action,23,false
1984,47,45532752,Supergirl,18,false
1984,48,28110057,The Terminator,16,false
1984,49,54745503,Beverly Hills Cop,16,false
1984,50,51198039,Beverly Hills Cop,17,false
1984,51,84538343,Beverly Hills Cop,20,false
1984,52,97435245,Beverly Hills Cop,20,false
1985,1,64992764,Beverly Hills Cop,21,false
1985,2,48745336,Beverly Hills Cop,29,false
1985,3,38353009,Beverly Hills Cop,32,false
1985,4,44579383,Beverly Hills Cop,27,false
1985,5,70432337,A Nightmare on Elm Street,22,false
1985,6,52768658,Beverly Hills Cop,19,false
1985,7,52711965,Beverly Hills Cop,17,false
1985,8,39278192,Beverly Hills Cop,15,false
1985,9,40462309,Beverly Hills Cop,17,false
1985,10,33291693,Witness,13,false
1985,11,35313145,Beverly Hills Cop,16,false
1985,12,60350124,Friday the 13th: A New Beginning,19,false
1985,13,75422940,Police Academy 2: Their First Assignment,19,false
1985,14,61142432,Police Academy 2: Their First Assignment,17,false
1985,15,53415597,Police Academy 2: Their First Assignment,19,false
1985,16,51555333,Police Academy 2: Their First Assignment,20,false
1985,17,52853128,The Breakfast Club,16,false
1985,18,40004250,Code of Silence,16,false
1985,19,34720493,Code of Silence,16,false
1985,20,34701468,Rambo: First Blood Part II,15,false
1985,21,75317153,Rambo: First Blood Part II,14,false
1985,22,64133309,Rambo: First Blood Part II,14,false
1985,23,84397934,Rambo: First Blood Part II,15,false
1985,24,68061100,Rambo: First Blood Part II,15,false
1985,25,77417104,Cocoon,15,false
1985,26,84635119,Pale Rider,16,false
1985,27,91257715,Back to the Future,15,false
1985,28,93192620,Back to the Future,17,false
1985,29,90942426,Back to the Future,18,false
